sample_id,state,measurement_col,phi,matrix_tc,fluid_tc,model,observed_tc,predicted_tc,error,abs_error,abs_pct_error
113480,dry,TC air,0.045249,2.98,0.025,Lichtenecker (geometric mean),2.4728875000000006,2.4003072660334235,-0.07258023396657709,0.07258023396657709,2.935039866009961
113480,dry,TC air,0.045249,2.98,0.025,Roy-Adler,2.4728875000000006,2.7400520580306447,0.2671645580306441,0.2671645580306441,10.803748978901954
113480,dry,TC air,0.045249,2.98,0.025,Krupiczka,2.4728875000000006,7.024402515248058,4.551515015248057,4.551515015248057,184.05669547231955
113480,dry,TC air,0.045249,2.98,0.025,Zimmerman (1989; spherical pores),2.4728875000000006,2.7846362138447827,0.3117487138447821,0.3117487138447821,12.6066678668068
113480,dry,TC air,0.045249,2.98,0.025,Zimmerman (1989; thin cracks),2.4728875000000006,1.0388272453755925,-1.4340602546244081,1.4340602546244081,57.99132611671205
113480,dry,TC air,0.045249,2.98,0.025,Zimmerman (1989; needle-like pores),2.4728875000000006,2.7650093754064233,0.29212187540642276,0.29212187540642276,11.812986858739942
113480,dry,TC air,0.045249,2.98,0.025,"Modified Maxwell (Eucken, 1940)",2.4728875000000006,2.7846362138447827,0.3117487138447821,0.3117487138447821,12.6066678668068
113480,dry,TC air,0.045249,2.98,0.025,Ribaud (1937),2.4728875000000006,2.604770643069925,0.13188314306992455,0.13188314306992455,5.333163885131229
113480,dry,TC air,0.045249,2.98,0.025,Mendel (1997),2.4728875000000006,2.78027159443609,0.3073840944360895,0.3073840944360895,12.430168959812745
113480,dry,TC air,0.045249,2.98,0.025,Sidorov (1979),2.4728875000000006,0.4694072636962092,-2.0034802363037914,2.0034802363037914,81.01784801386196
113480,oil,TC oil,0.045249,2.98,0.13,Lichtenecker (geometric mean),2.668884574253278,2.586218863663129,-0.08266571059014893,0.08266571059014893,3.097388001999967
113480,oil,TC oil,0.045249,2.98,0.13,Roy-Adler,2.668884574253278,2.7704621260215663,0.1015775517682882,0.1015775517682882,3.8059926887886633
113480,oil,TC oil,0.045249,2.98,0.13,Krupiczka,2.668884574253278,5.938892052998955,3.2700074787456765,3.2700074787456765,122.52337588112387
113480,oil,TC oil,0.045249,2.98,0.13,Zimmerman (1989; spherical pores),2.668884574253278,2.794615412241821,0.1257308379885429,0.1257308379885429,4.710988223374961
113480,oil,TC oil,0.045249,2.98,0.13,Zimmerman (1989; thin cracks),2.668884574253278,2.1748713816189755,-0.49401319263430254,0.49401319263430254,18.510099589920316
113480,oil,TC oil,0.045249,2.98,0.13,Zimmerman (1989; needle-like pores),2.668884574253278,2.7778431525284115,0.10895857827513344,0.10895857827513344,4.082551164867021
113480,oil,TC oil,0.045249,2.98,0.13,"Modified Maxwell (Eucken, 1940)",2.668884574253278,2.794615412241821,0.1257308379885429,0.1257308379885429,4.710988223374961
113480,brine_avg,TC 60,0.045249,2.98,0.6,Lichtenecker (geometric mean),2.9664375000000005,2.7715327719748104,-0.1949047280251901,0.1949047280251901,6.570329832507513
113480,brine_avg,TC 60,0.045249,2.98,0.6,Roy-Adler,2.9664375000000005,2.8331807213893354,-0.1332567786106651,0.1332567786106651,4.4921485320579
113480,brine_avg,TC 60,0.045249,2.98,0.6,Krupiczka,2.9664375000000005,4.50630653528949,1.53986903528949,1.53986903528949,51.90970769785272
113480,brine_avg,TC 60,0.045249,2.98,0.6,Zimmerman (1989; spherical pores),2.9664375000000005,2.835606417741554,-0.13083108225844642,0.13083108225844642,4.410377169869461
113480,brine_avg,TC 60,0.045249,2.98,0.6,Zimmerman (1989; thin cracks),2.9664375000000005,2.744031612388373,-0.2224058876116275,0.2224058876116275,7.49740682591922
113480,brine_avg,TC 60,0.045249,2.98,0.6,Zimmerman (1989; needle-like pores),2.9664375000000005,2.827633326128475,-0.13880417387152555,0.13880417387152555,4.679153829181485
113480,brine_avg,TC 60,0.045249,2.98,0.6,"Modified Maxwell (Eucken, 1940)",2.9664375000000005,2.835606417741555,-0.13083108225844553,0.13083108225844553,4.410377169869431
113480,brine_avg,TC 60,0.045249,2.98,0.6,Ribaud (1937),2.9664375000000005,2.677784815738214,-0.2886526842617867,0.2886526842617867,9.730617424496105
113480,brine_avg,TC 60,0.045249,2.98,0.6,Mendel (1997),2.9664375000000005,2.8332359721341462,-0.13320152786585426,0.13320152786585426,4.490286003526258
113480,brine_avg,TC 60,0.045249,2.98,0.6,Sidorov (1979),2.9664375000000005,2.5265206241658986,-0.4399168758341019,0.4399168758341019,14.829804296706126
113532,dry,TC air,0.06473371285951457,2.98,0.025,Lichtenecker (geometric mean),2.4045750000000004,2.1868107147390417,-0.2177642852609587,0.2177642852609587,9.05624841233726
113532,dry,TC air,0.06473371285951457,2.98,0.025,Roy-Adler,2.4045750000000004,2.639829571972249,0.23525457197224853,0.23525457197224853,9.783623799309586
113532,dry,TC air,0.06473371285951457,2.98,0.025,Krupiczka,2.4045750000000004,4.001011531659983,1.5964365316599824,1.5964365316599824,66.39162977490751
