state,phi_intergranular,phi_ic,phi_total,delta_lambda_percent
dry,0.21857143,0.00000000,0.21857143,0.00000000
dry,0.22042017,0.00000000,0.22042017,0.00000000
dry,0.22226891,0.00000000,0.22226891,0.00000000
dry,0.22411765,0.00000000,0.22411765,0.00000000
dry,0.22596639,0.00000000,0.22596639,0.00000000
dry,0.22781513,0.00000000,0.22781513,0.00000000
dry,0.22966387,0.00000000,0.22966387,0.00000000
dry,0.23151261,0.00000000,0.23151261,0.00000000
dry,0.23336134,0.00000000,0.23336134,0.00000000
dry,0.23521008,0.00000000,0.23521008,0.00000000
dry,0.23705882,0.00000000,0.23705882,0.00000000
dry,0.23890756,0.00000000,0.23890756,0.00000000
dry,0.24075630,0.00000000,0.24075630,0.00000000
dry,0.24260504,0.00000000,0.24260504,0.00000000
dry,0.24445378,0.00000000,0.24445378,0.00000000
dry,0.24630252,0.00000000,0.24630252,0.00000000
dry,0.24815126,0.00000000,0.24815126,0.00000000
dry,0.25000000,0.00000000,0.25000000,0.00000000
dry,0.03000000,0.00008403,0.03008403,-0.50217317
dry,0.03184874,0.00008403,0.03193277,-0.50092848
dry,0.03369748,0.00008403,0.03378151,-0.49968983
dry,0.03554622,0.00008403,0.03563025,-0.49845720
dry,0.03739496,0.00008403,0.03747899,-0.49723053
dry,0.03924370,0.00008403,0.03932773,-0.49600978
dry,0.04109244,0.00008403,0.04117647,-0.49479491
dry,0.04294118,0.00008403,0.04302521,-0.49358586
dry,0.04478992,0.00008403,0.04487395,-0.49238262
dry,0.04663866,0.00008403,0.04672269,-0.49118511
dry,0.04848739,0.00008403,0.04857143,-0.48999332
dry,0.05033613,0.00008403,0.05042017,-0.48880719
dry,0.05218487,0.00008403,0.05226891,-0.48762669
dry,0.05403361,0.00008403,0.05411765,-0.48645177
dry,0.05588235,0.00008403,0.05596639,-0.48528240
dry,0.05773109,0.00008403,0.05781513,-0.48411853
dry,0.05957983,0.00008403,0.05966387,-0.48296013
dry,0.06142857,0.00008403,0.06151261,-0.48180715
dry,0.06327731,0.00008403,0.06336134,-0.48065956
dry,0.06512605,0.00008403,0.06521008,-0.47951732
dry,0.06697479,0.00008403,0.06705882,-0.47838039
dry,0.06882353,0.00008403,0.06890756,-0.47724873
dry,0.07067227,0.00008403,0.07075630,-0.47612231
dry,0.07252101,0.00008403,0.07260504,-0.47500109
dry,0.07436975,0.00008403,0.07445378,-0.47388504
dry,0.07621849,0.00008403,0.07630252,-0.47277411
dry,0.07806723,0.00008403,0.07815126,-0.47166827
dry,0.07991597,0.00008403,0.08000000,-0.47056749
dry,0.08176471,0.00008403,0.08184874,-0.46947173
dry,0.08361345,0.00008403,0.08369748,-0.46838095
dry,0.08546218,0.00008403,0.08554622,-0.46729513
dry,0.08731092,0.00008403,0.08739496,-0.46621422
dry,0.08915966,0.00008403,0.08924370,-0.46513819
dry,0.09100840,0.00008403,0.09109244,-0.46406702
dry,0.09285714,0.00008403,0.09294118,-0.46300066
dry,0.09470588,0.00008403,0.09478992,-0.46193908
dry,0.09655462,0.00008403,0.09663866,-0.46088225
dry,0.09840336,0.00008403,0.09848739,-0.45983014
dry,0.10025210,0.00008403,0.10033613,-0.45878272
dry,0.10210084,0.00008403,0.10218487,-0.45773994
dry,0.10394958,0.00008403,0.10403361,-0.45670180
dry,0.10579832,0.00008403,0.10588235,-0.45566824
dry,0.10764706,0.00008403,0.10773109,-0.45463924
dry,0.10949580,0.00008403,0.10957983,-0.45361477
dry,0.11134454,0.00008403,0.11142857,-0.45259479
dry,0.11319328,0.00008403,0.11327731,-0.45157929
dry,0.11504202,0.00008403,0.11512605,-0.45056822
dry,0.11689076,0.00008403,0.11697479,-0.44956157
dry,0.11873950,0.00008403,0.11882353,-0.44855929
dry,0.12058824,0.00008403,0.12067227,-0.44756136
dry,0.12243697,0.00008403,0.12252101,-0.44656775
dry,0.12428571,0.00008403,0.12436975,-0.44557844
dry,0.12613445,0.00008403,0.12621849,-0.44459339
dry,0.12798319,0.00008403,0.12806723,-0.44361257
dry,0.12983193,0.00008403,0.12991597,-0.44263596
dry,0.13168067,0.00008403,0.13176471,-0.44166354
dry,0.13352941,0.00008403,0.13361345,-0.44069526
dry,0.13537815,0.00008403,0.13546218,-0.43973111
dry,0.13722689,0.00008403,0.13731092,-0.43877106
dry,0.13907563,0.00008403,0.13915966,-0.43781508
dry,0.14092437,0.00008403,0.14100840,-0.43686314
dry,0.14277311,0.00008403,0.14285714,-0.43591523
dry,0.14462185,0.00008403,0.14470588,-0.43497130
dry,0.14647059,0.00008403,0.14655462,-0.43403135
dry,0.14831933,0.00008403,0.14840336,-0.43309533
dry,0.15016807,0.00008403,0.15025210,-0.43216323
dry,0.15201681,0.00008403,0.15210084,-0.43123502
dry,0.15386555,0.00008403,0.15394958,-0.43031067
dry,0.15571429,0.00008403,0.15579832,-0.42939017
dry,0.15756303,0.00008403,0.15764706,-0.42847348
dry,0.15941176,0.00008403,0.15949580,-0.42756058
dry,0.16126050,0.00008403,0.16134454,-0.42665145
dry,0.16310924,0.00008403,0.16319328,-0.42574607
dry,0.16495798,0.00008403,0.16504202,-0.42484440
dry,0.16680672,0.00008403,0.16689076,-0.42394643
dry,0.16865546,0.00008403,0.16873950,-0.42305213
dry,0.17050420,0.00008403,0.17058824,-0.42216148
dry,0.17235294,0.00008403,0.17243697,-0.42127446
dry,0.17420168,0.00008403,0.17428571,-0.42039104
dry,0.17605042,0.00008403,0.17613445,-0.41951120
dry,0.17789916,0.00008403,0.17798319,-0.41863492
dry,0.17974790,0.00008403,0.17983193,-0.41776218
dry,0.18159664,0.00008403,0.18168067,-0.41689295
dry,0.18344538,0.00008403,0.18352941,-0.41602721
dry,0.18529412,0.00008403,0.18537815,-0.41516494
dry,0.18714286,0.00008403,0.18722689,-0.41430612
dry,0.18899160,0.00008403,0.18907563,-0.41345072
dry,0.19084034,0.00008403,0.19092437,-0.41259873
dry,0.19268908,0.00008403,0.19277311,-0.41175013
dry,0.19453782,0.00008403,0.19462185,-0.41090489
dry,0.19638655,0.00008403,0.19647059,-0.41006299
dry,0.19823529,0.00008403,0.19831933,-0.40922442
dry,0.20008403,0.00008403,0.20016807,-0.40838915
