sample,porosity,model,state,alpha_fit,measured,predicted,error,ape_pct,signed_pct
113480.0,0.045249,GSA,dry,0.06484675134887007,2.4728875000000006,2.5112108039978582,0.03832330399785766,1.5497390802395035,1.5497390802395035
113480.0,0.045249,GSA,oil,0.06484675134887007,2.668884574253278,2.605340434994754,-0.06354413925852409,2.3809249703615594,-2.3809249703615594
113480.0,0.045249,GSA,brine_avg,0.06484675134887007,2.8530916666666664,2.7835406675816516,-0.06955099908501472,2.4377414822522256,-2.4377414822522256
113480.0,0.045249,SCA,dry,0.07220250520233248,2.4728875000000006,2.5115702125225234,0.038682712522522866,1.5642730420418582,1.5642730420418582
113480.0,0.045249,SCA,oil,0.07220250520233248,2.668884574253278,2.6051362727959617,-0.06374830145731636,2.3885746904267062,-2.3885746904267062
113480.0,0.045249,SCA,brine_avg,0.07220250520233248,2.8530916666666664,2.7832393635563815,-0.0698523031102849,2.448302097208639,-2.448302097208639
113480.0,0.045249,BRUGGEMAN,dry,,2.4728875000000006,2.7803314905197474,0.3074439905197468,12.43259107095437,12.43259107095437
113480.0,0.045249,BRUGGEMAN,oil,,2.668884574253278,2.790963090955654,0.12207851670237613,4.574139993916082,4.574139993916082
113480.0,0.045249,BRUGGEMAN,brine_avg,,2.8530916666666664,2.83392464506593,-0.019167021600736245,0.6717983100462217,-0.6717983100462217
113532.0,0.06473371285951457,GSA,dry,0.09307463258693392,2.4045750000000004,2.4537848623282486,0.0492098623282482,2.0465097710925297,2.0465097710925297
113532.0,0.06473371285951457,GSA,oil,0.09307463258693392,2.600887636781521,2.532789250615629,-0.06809838616589214,2.618274822904721,-2.618274822904721
113532.0,0.06473371285951457,GSA,brine_avg,0.09307463258693392,2.794646875,2.7171239738668707,-0.07752290113312954,2.7739784166158574,-2.7739784166158574
113532.0,0.06473371285951457,SCA,dry,0.10406535267123247,2.4045750000000004,2.4542449879356267,0.04966998793562638,2.065645194499085,2.065645194499085
113532.0,0.06473371285951457,SCA,oil,0.10406535267123247,2.600887636781521,2.532663305483015,-0.0682243312985058,2.6231172132807044,-2.6231172132807044
113532.0,0.06473371285951457,SCA,brine_avg,0.10406535267123247,2.794646875,2.716738287005909,-0.07790858799409106,2.787779332374186,-2.787779332374186
113532.0,0.06473371285951457,BRUGGEMAN,dry,,2.4045750000000004,2.694392824874252,0.2898178248742518,12.052767115779368,12.052767115779368
113532.0,0.06473371285951457,BRUGGEMAN,oil,,2.600887636781521,2.709746089772996,0.10885845299147512,4.185434674378415,4.185434674378415
113532.0,0.06473371285951457,BRUGGEMAN,brine_avg,,2.794646875,2.771472815071999,-0.023174059928001256,0.8292303451755869,-0.8292303451755869
113536.0,0.1502428813868614,GSA,dry,0.10149345202429853,1.85855,1.963588056859826,0.10503805685982615,5.651613185538519,5.651613185538519
113536.0,0.1502428813868614,GSA,oil,0.10149345202429853,2.23458197098924,2.086666668596299,-0.14791530239294115,6.619372406708342,-6.619372406708342
113536.0,0.1502428813868614,GSA,brine_avg,0.10149345202429853,2.5896906250000002,2.4131796162750314,-0.17651100872496883,6.815911021223581,-6.815911021223581
113536.0,0.1502428813868614,SCA,dry,0.12869256309941948,1.85855,1.9654528123363808,0.10690281233638088,5.751947073599359,5.751947073599359
113536.0,0.1502428813868614,SCA,oil,0.12869256309941948,2.23458197098924,2.086536306799684,-0.148045664189556,6.62520624043238,-6.62520624043238
113536.0,0.1502428813868614,SCA,brine_avg,0.12869256309941948,2.5896906250000002,2.4117186036763916,-0.17797202132360868,6.87232751300587,-6.87232751300587
