model,n,AR_min,AR_mean,AR_median,AR_max,AR_p2.5,AR_p97.5,w95(AR)
GSA,32,0.025888810268482422,0.09569312008404177,0.09533263024248262,0.17431311855058065,0.05036724506640297,0.16770012936539969,0.11733288429899671
SCA,32,0.02810718263577177,0.1141916231663784,0.12081008419618061,0.19236572204189847,0.053523210063561845,0.18869908280164055,0.1351758727380787
