model,state,n,MAPE (%),RMSE (W m^-1 K^-1),Bias (%),MaxAE (%)
GSA,dry,32,2.9333638389569217,0.06901939379150389,2.927446318206949,6.51316573775913
GSA,oil,32,3.5594134112373603,0.09520930544653378,-3.5243111910820426,7.55459972543191
GSA,brine_avg,32,4.000425918547519,0.1260491307567201,-3.93263658207172,8.578699666702336
SCA,dry,32,2.987811711816927,0.07011490046213269,2.9829475226280744,6.623444379074976
SCA,oil,32,3.5747444773928816,0.09548865058163364,-3.5407655113073897,7.554736781074537
SCA,brine_avg,32,4.035096501436333,0.1270258104320953,-3.973568366818544,8.63015605569206
BRUGGEMAN,dry,32,18.072727591487755,0.378818005376106,18.072727591487755,53.78773008610538
BRUGGEMAN,oil,32,6.271271855741267,0.15993771715490956,6.212621832751158,20.3210905244394
BRUGGEMAN,brine_avg,32,2.315716202006248,0.07742402588526598,-1.2731415350452273,6.9187721426355875
