Model,MAPE (%),RMSE (W m^-1 K^-1),Bias (%),MaxAE (%),w95(AR)
GSA,3.2481991303989632,0.11421464694452951,-2.838889215345542,11.094965672628406,0.22860083010243082
SCA,3.2832558805295844,0.11531349875725927,-2.876323777238121,11.19040846154465,0.24630932367623273
BRUGGEMAN,8.761256344682623,0.23930449582292448,7.474935871066526,53.78773008610538,
