model,n_cal,alpha_mean,alpha_median,alpha_min,alpha_max,frac_at_lower,frac_at_upper,cal_mape
Bruggeman,33,,,,,0.0,0.0,17.794376062723934
DEM,33,0.09679967401550248,0.09709265668351497,0.02537974664130605,0.1596104348916299,0.0,0.0,3.0501141711881696e-05
GSA,33,0.08149316113327058,0.07856792020792476,0.02397024256853599,0.14078964153432302,0.0,0.0,2.3636368745548163e-05
MT,33,0.08149316113327049,0.07856792020792523,0.023970242568536075,0.14078964153432325,0.0,0.0,2.3636368773623934e-05
SCA,33,0.09940297868187768,0.1008888880525941,0.026170331568392047,0.1581347616327104,0.0,0.0,2.7740591711379254e-05
