sample_id,state,measurement_col,phi,matrix_tc,fluid_tc,model,alpha_fit,alpha_source,alpha_fit_mode,uses_alpha,observed_tc,predicted_tc,error,abs_error,abs_pct_error,is_calibration_state
113480,dry,TC air,0.045249,2.98,0.025,MT,0.056663870753093634,per_sample,per_sample,True,2.4728875000000006,2.472887088475538,-4.115244625069181e-07,4.115244625069181e-07,1.6641455080626112e-05,True
113480,oil,TC oil,0.045249,2.98,0.13,MT,0.056663870753093634,per_sample,per_sample,True,2.668884574253278,2.5840471255911974,-0.08483744866208065,0.08483744866208065,3.1787605009413773,False
113480,brine_avg,TC 60,0.045249,2.98,0.6,MT,0.056663870753093634,per_sample,per_sample,True,2.9664375000000005,2.780067947725853,-0.1863695522741473,0.1863695522741473,6.282605053170588,False
113480,dry,TC air,0.045249,2.98,0.025,SCA,0.06386481430694,per_sample,per_sample,True,2.4728875000000006,2.472887580159098,8.015909758185558e-08,8.015909758185558e-08,3.2415181678040576e-06,True
113480,oil,TC oil,0.045249,2.98,0.13,SCA,0.06386481430694,per_sample,per_sample,True,2.668884574253278,2.5835473351321805,-0.08533723912109759,0.08533723912109759,3.1974870679813465,False
113480,brine_avg,TC 60,0.045249,2.98,0.6,SCA,0.06386481430694,per_sample,per_sample,True,2.9664375000000005,2.7796903015170926,-0.18674719848290788,0.18674719848290788,6.295335684062377,False
113480,dry,TC air,0.045249,2.98,0.025,DEM,0.06226592699664115,per_sample,per_sample,True,2.4728875000000006,2.4728876024045534,1.0240455283749839e-07,1.0240455283749839e-07,4.1410922590493244e-06,True
113480,oil,TC oil,0.045249,2.98,0.13,DEM,0.06226592699664115,per_sample,per_sample,True,2.668884574253278,2.587569107233131,-0.08131546702014703,0.08131546702014703,3.0467959463139436,False
113480,brine_avg,TC 60,0.045249,2.98,0.6,DEM,0.06226592699664115,per_sample,per_sample,True,2.9664375000000005,2.7814455171625223,-0.1849919828374782,0.1849919828374782,6.236166541094433,False
113480,dry,TC air,0.045249,2.98,0.025,GSA,0.05666387075309723,per_sample,per_sample,True,2.4728875000000006,2.4728870884755563,-4.115244442992605e-07,4.115244442992605e-07,1.6641454344334726e-05,True
113480,oil,TC oil,0.045249,2.98,0.13,GSA,0.05666387075309723,per_sample,per_sample,True,2.668884574253278,2.584047125591208,-0.08483744866206999,0.08483744866206999,3.178760500940978,False
113480,brine_avg,TC 60,0.045249,2.98,0.6,GSA,0.05666387075309723,per_sample,per_sample,True,2.9664375000000005,2.7800679477258545,-0.18636955227414598,0.18636955227414598,6.282605053170544,False
113480,dry,TC air,0.045249,2.98,0.025,Bruggeman,,,per_sample,False,2.4728875000000006,2.7803314905197474,0.3074439905197468,0.3074439905197468,12.43259107095437,True
113480,oil,TC oil,0.045249,2.98,0.13,Bruggeman,,,per_sample,False,2.668884574253278,2.790963090955654,0.12207851670237613,0.12207851670237613,4.574139993916082,False
113480,brine_avg,TC 60,0.045249,2.98,0.6,Bruggeman,,,per_sample,False,2.9664375000000005,2.83392464506593,-0.1325128549340704,0.1325128549340704,4.467070515865255,False
113532,dry,TC air,0.06473371285951457,2.98,0.025,MT,0.07856792020792523,per_sample,per_sample,True,2.4045750000000004,2.4045759934049147,9.93404914328977e-07,9.93404914328977e-07,4.131311829861729e-05,True
113532,oil,TC oil,0.06473371285951457,2.98,0.13,MT,0.07856792020792523,per_sample,per_sample,True,2.600887636781521,2.5016426646611643,-0.09924497212035677,0.09924497212035677,3.8158115989650314,False
113532,brine_avg,TC 60,0.06473371285951457,2.98,0.6,MT,0.07856792020792523,per_sample,per_sample,True,2.857375,2.7106404814200324,-0.14673451857996778,0.14673451857996778,5.135290907912604,False
113532,dry,TC air,0.06473371285951457,2.98,0.025,SCA,0.08924832160440768,per_sample,per_sample,True,2.4045750000000004,2.4045749961576175,-3.84238285633387e-09,3.84238285633387e-09,1.5979467707739912e-07,True
113532,oil,TC oil,0.06473371285951457,2.98,0.13,SCA,0.08924832160440768,per_sample,per_sample,True,2.600887636781521,2.501075111889517,-0.0998125248920041,0.0998125248920041,3.8376331018866123,False
113532,brine_avg,TC 60,0.06473371285951457,2.98,0.6,SCA,0.08924832160440768,per_sample,per_sample,True,2.857375,2.7100951319967965,-0.1472798680032037,0.1472798680032037,5.154376587014434,False
113532,dry,TC air,0.06473371285951457,2.98,0.025,DEM,0.08765434569785864,per_sample,per_sample,True,2.4045750000000004,2.404573851954286,-1.148045714494117e-06,1.148045714494117e-06,4.7744225673730987e-05,True
113532,oil,TC oil,0.06473371285951457,2.98,0.13,DEM,0.08765434569785864,per_sample,per_sample,True,2.600887636781521,2.505293274656489,-0.09559436212503192,0.09559436212503192,3.6754514410059462,False
113532,brine_avg,TC 60,0.06473371285951457,2.98,0.6,DEM,0.08765434569785864,per_sample,per_sample,True,2.857375,2.7126484017705845,-0.1447265982294157,0.1447265982294157,5.065019405202876,False
113532,dry,TC air,0.06473371285951457,2.98,0.025,GSA,0.07856792020792476,per_sample,per_sample,True,2.4045750000000004,2.404575993404913,9.9340491255262e-07,9.9340491255262e-07,4.1313118224743244e-05,True
113532,oil,TC oil,0.06473371285951457,2.98,0.13,GSA,0.07856792020792476,per_sample,per_sample,True,2.600887636781521,2.5016426646611625,-0.09924497212035854,0.09924497212035854,3.8158115989650994,False
113532,brine_avg,TC 60,0.06473371285951457,2.98,0.6,GSA,0.07856792020792476,per_sample,per_sample,True,2.857375,2.7106404814200316,-0.14673451857996866,0.14673451857996866,5.135290907912634,False
113532,dry,TC air,0.06473371285951457,2.98,0.025,Bruggeman,,,per_sample,False,2.4045750000000004,2.694392824874252,0.2898178248742518,0.2898178248742518,12.052767115779368,True
113532,oil,TC oil,0.06473371285951457,2.98,0.13,Bruggeman,,,per_sample,False,2.600887636781521,2.709746089772996,0.10885845299147512,0.10885845299147512,4.185434674378415,False
113532,brine_avg,TC 60,0.06473371285951457,2.98,0.6,Bruggeman,,,per_sample,False,2.857375,2.771472815071999,-0.08590218492800128,0.08590218492800128,3.0063322079881454,False
113536,dry,TC air,0.1502428813868614,2.98,0.025,MT,0.0797539855544461,per_sample,per_sample,True,1.85855,1.8585498778840086,-1.2211599131894957e-07,1.2211599131894957e-07,6.570498039813272e-06,True
113536,oil,TC oil,0.1502428813868614,2.98,0.13,MT,0.0797539855544461,per_sample,per_sample,True,2.23458197098924,2.0154572300775877,-0.21912474091165235,0.21912474091165235,9.806073071226237,False
113536,brine_avg,TC 60,0.1502428813868614,2.98,0.6,MT,0.0797539855544461,per_sample,per_sample,True,2.63095,2.395911317089907,-0.23503868291009278,0.23503868291009278,8.933605082198172,False
113536,dry,TC air,0.1502428813868614,2.98,0.025,SCA,0.10596228019895967,per_sample,per_sample,True,1.85855,1.858548904481239,-1.0955187608185923e-06,1.0955187608185923e-06,5.8944809707491984e-05,True
113536,oil,TC oil,0.1502428813868614,2.98,0.13,SCA,0.10596228019895967,per_sample,per_sample,True,2.23458197098924,2.0133550012969628,-0.2212269696922773,0.2212269696922773,9.900150120442484,False
113536,brine_avg,TC 60,0.1502428813868614,2.98,0.6,SCA,0.10596228019895967,per_sample,per_sample,True,2.63095,2.393552801443589,-0.23739719855641095,0.23739719855641095,9.023250101917975,False
113536,dry,TC air,0.1502428813868614,2.98,0.025,DEM,0.10171819292026894,per_sample,per_sample,True,1.85855,1.8585511665190964,1.166519096429397e-06,1.166519096429397e-06,6.276501016541911e-05,True
113536,oil,TC oil,0.1502428813868614,2.98,0.13,DEM,0.10171819292026894,per_sample,per_sample,True,2.23458197098924,2.027969758718077,-0.2066122122711631,0.2066122122711631,9.246123657737055,False
113536,brine_avg,TC 60,0.1502428813868614,2.98,0.6,DEM,0.10171819292026894,per_sample,per_sample,True,2.63095,2.403818339859735,-0.2271316601402651,0.2271316601402651,8.633066388196852,False
113536,dry,TC air,0.1502428813868614,2.98,0.025,GSA,0.07975398555444614,per_sample,per_sample,True,1.85855,1.85854987788401,-1.2211598998668194e-07,1.2211598998668194e-07,6.570497968130098e-06,True
113536,oil,TC oil,0.1502428813868614,2.98,0.13,GSA,0.07975398555444614,per_sample,per_sample,True,2.23458197098924,2.015457230077588,-0.2191247409116519,0.2191247409116519,9.806073071226216,False
113536,brine_avg,TC 60,0.1502428813868614,2.98,0.6,GSA,0.07975398555444614,per_sample,per_sample,True,2.63095,2.3959113170899076,-0.23503868291009233,0.23503868291009233,8.933605082198154,False
113536,dry,TC air,0.1502428813868614,2.98,0.025,Bruggeman,,,per_sample,False,1.85855,2.317620944377673,0.45907094437767326,0.45907094437767326,24.700489326500406,True
113536,oil,TC oil,0.1502428813868614,2.98,0.13,Bruggeman,,,per_sample,False,2.23458197098924,2.354963488088436,0.12038151709919598,0.12038151709919598,5.387205242952157,False
113536,brine_avg,TC 60,0.1502428813868614,2.98,0.6,Bruggeman,,,per_sample,False,2.63095,2.5010786849056075,-0.12987131509439243,0.12987131509439243,4.936289746836406,False
113541,dry,TC air,0.1419265364023713,2.98,0.025,MT,0.07351986945104426,per_sample,per_sample,True,1.867175,1.8671749395643586,-6.043564138025204e-08,6.043564138025204e-08,3.2367422111077987e-06,True
113541,oil,TC oil,0.1419265364023713,2.98,0.13,MT,0.07351986945104426,per_sample,per_sample,True,2.2868730488364504,2.0331442053779756,-0.2537288434584748,0.2537288434584748,11.095012186512529,False
113541,brine_avg,TC 60,0.1419265364023713,2.98,0.6,MT,0.07351986945104426,per_sample,per_sample,True,2.7286125,2.4193723788239945,-0.30924012117600563,0.30924012117600563,11.333236990448649,False
113541,dry,TC air,0.1419265364023713,2.98,0.025,SCA,0.0979900822178467,per_sample,per_sample,True,1.867175,1.8671752638865027,2.6388650264941305e-07,2.6388650264941305e-07,1.4132928228442062e-05,True
113541,oil,TC oil,0.1419265364023713,2.98,0.13,SCA,0.0979900822178467,per_sample,per_sample,True,2.2868730488364504,2.0309628736116805,-0.2559101752247699,0.2559101752247699,11.190397095062872,False
113541,brine_avg,TC 60,0.1419265364023713,2.98,0.6,SCA,0.0979900822178467,per_sample,per_sample,True,2.7286125,2.417047048426055,-0.3115654515739452,0.3115654515739452,11.418457240591884,False
113541,dry,TC air,0.1419265364023713,2.98,0.025,DEM,0.09347663387939512,per_sample,per_sample,True,1.867175,1.8671763793446121,1.3793446120846653e-06,1.3793446120846653e-06,7.38733440670888e-05,True
113541,oil,TC oil,0.1419265364023713,2.98,0.13,DEM,0.09347663387939512,per_sample,per_sample,True,2.2868730488364504,2.0463607866067632,-0.24051226222968713,0.24051226222968713,10.517079745727843,False
113541,brine_avg,TC 60,0.1419265364023713,2.98,0.6,DEM,0.09347663387939512,per_sample,per_sample,True,2.7286125,2.427142888767715,-0.3014696112322852,0.3014696112322852,11.048458190097906,False
113541,dry,TC air,0.1419265364023713,2.98,0.025,GSA,0.0735198694510443,per_sample,per_sample,True,1.867175,1.8671749395643586,-6.043564138025204e-08,6.043564138025204e-08,3.2367422111077987e-06,True
113541,oil,TC oil,0.1419265364023713,2.98,0.13,GSA,0.0735198694510443,per_sample,per_sample,True,2.2868730488364504,2.0331442053779756,-0.2537288434584748,0.2537288434584748,11.095012186512529,False
113541,brine_avg,TC 60,0.1419265364023713,2.98,0.6,GSA,0.0735198694510443,per_sample,per_sample,True,2.7286125,2.419372378823994,-0.3092401211760061,0.3092401211760061,11.333236990448665,False
113541,dry,TC air,0.1419265364023713,2.98,0.025,Bruggeman,,,per_sample,False,1.867175,2.35423318914262,0.48705818914262,0.48705818914262,26.085299403784862,True
113541,oil,TC oil,0.1419265364023713,2.98,0.13,Bruggeman,,,per_sample,False,2.2868730488364504,2.3893327162113036,0.10245966737485324,0.10245966737485324,4.4803391000206245,False
113541,brine_avg,TC 60,0.1419265364023713,2.98,0.6,Bruggeman,,,per_sample,False,2.7286125,2.5270889915044688,-0.20152350849553136,0.20152350849553136,7.385567151639573,False
113556,dry,TC air,0.09432965948473461,2.98,0.025,MT,0.06629932890531404,per_sample,per_sample,True,2.1235625000000002,2.1235617866966168,-7.133033834705316e-07,7.133033834705316e-07,3.358994065258411e-05,True
113556,oil,TC oil,0.09432965948473461,2.98,0.13,MT,0.06629932890531404,per_sample,per_sample,True,2.4008624999999997,2.2742469318577796,-0.12661556814222008,0.12661556814222008,5.2737534174581056,False
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,MT,0.06629932890531404,per_sample,per_sample,True,2.8231,2.588159504375363,-0.23494049562463726,0.23494049562463726,8.32207486892555,False
113556,dry,TC air,0.09432965948473461,2.98,0.025,SCA,0.08194994598822634,per_sample,per_sample,True,2.1235625000000002,2.12356294915793,4.491579299603643e-07,4.491579299603643e-07,2.1151151895004937e-05,True
113556,oil,TC oil,0.09432965948473461,2.98,0.13,SCA,0.08194994598822634,per_sample,per_sample,True,2.4008624999999997,2.2728777830931155,-0.12798471690688418,0.12798471690688418,5.330780788440995,False
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,SCA,0.08194994598822634,per_sample,per_sample,True,2.8231,2.58689032366358,-0.23620967633642032,0.23620967633642032,8.367031856343038,False
113556,dry,TC air,0.09432965948473461,2.98,0.025,DEM,0.07880523792722025,per_sample,per_sample,True,2.1235625000000002,2.123562467365828,-3.263417225340959e-08,3.263417225340959e-08,1.536765329648154e-06,True
113556,oil,TC oil,0.09432965948473461,2.98,0.13,DEM,0.07880523792722025,per_sample,per_sample,True,2.4008624999999997,2.2830692513055513,-0.1177932486944484,0.1177932486944484,4.906288831386571,False
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,DEM,0.07880523792722025,per_sample,per_sample,True,2.8231,2.5925773091515767,-0.23052269084842347,0.23052269084842347,8.16558715059415,False
113556,dry,TC air,0.09432965948473461,2.98,0.025,GSA,0.06629932890531408,per_sample,per_sample,True,2.1235625000000002,2.123561786696617,-7.133033830264424e-07,7.133033830264424e-07,3.3589940631671654e-05,True
113556,oil,TC oil,0.09432965948473461,2.98,0.13,GSA,0.06629932890531408,per_sample,per_sample,True,2.4008624999999997,2.2742469318577796,-0.12661556814222008,0.12661556814222008,5.2737534174581056,False
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,GSA,0.06629932890531408,per_sample,per_sample,True,2.8231,2.588159504375363,-0.23494049562463726,0.23494049562463726,8.32207486892555,False
113556,dry,TC air,0.09432965948473461,2.98,0.025,Bruggeman,,,per_sample,False,2.1235625000000002,2.563912362046402,0.4403498620464017,0.4403498620464017,20.736373996357614,True
113556,oil,TC oil,0.09432965948473461,2.98,0.13,Bruggeman,,,per_sample,False,2.4008624999999997,2.586625906351364,0.18576340635136424,0.18576340635136424,7.737361317083518,False
113556,brine_avg,TC 60,0.09432965948473461,2.98,0.6,Bruggeman,,,per_sample,False,2.8231,2.67717696189804,-0.14592303810196006,0.14592303810196006,5.168893702028268,False
113566,dry,TC air,0.09294072678275303,2.98,0.025,MT,0.08850032022699107,per_sample,per_sample,True,2.244775,2.2447759934946494,9.934946492151653e-07,9.934946492151653e-07,4.425809487432661e-05,True
113566,oil,TC oil,0.09294072678275303,2.98,0.13,MT,0.08850032022699107,per_sample,per_sample,True,2.456699651526272,2.3528023245421466,-0.10389732698412546,0.10389732698412546,4.229142415499479,False
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,MT,0.08850032022699107,per_sample,per_sample,True,2.7460125,2.6078504742006436,-0.13816202579935632,0.13816202579935632,5.031369150699653,False
113566,dry,TC air,0.09294072678275303,2.98,0.025,SCA,0.104258165778541,per_sample,per_sample,True,2.244775,2.244776105805281,1.1058052806767193e-06,1.1058052806767193e-06,4.926129704209639e-05,True
113566,oil,TC oil,0.09294072678275303,2.98,0.13,SCA,0.104258165778541,per_sample,per_sample,True,2.456699651526272,2.3519465732613103,-0.10475307826496172,0.10475307826496172,4.2639757855577445,False
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,SCA,0.104258165778541,per_sample,per_sample,True,2.7460125,2.6069260020567797,-0.13908649794322026,0.13908649794322026,5.065035135245024,False
113566,dry,TC air,0.09294072678275303,2.98,0.025,DEM,0.10238012913453907,per_sample,per_sample,True,2.244775,2.2447757256687697,7.256687695189612e-07,7.256687695189612e-07,3.2327015826484224e-05,True
113566,oil,TC oil,0.09294072678275303,2.98,0.13,DEM,0.10238012913453907,per_sample,per_sample,True,2.456699651526272,2.3580620772091687,-0.0986375743171033,0.0986375743171033,4.015044096083247,False
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,DEM,0.10238012913453907,per_sample,per_sample,True,2.7460125,2.61119422980406,-0.13481827019593995,0.13481827019593995,4.9096014747179755,False
113566,dry,TC air,0.09294072678275303,2.98,0.025,GSA,0.08850032022699111,per_sample,per_sample,True,2.244775,2.24477599349465,9.934946496592545e-07,9.934946496592545e-07,4.425809489410985e-05,True
113566,oil,TC oil,0.09294072678275303,2.98,0.13,GSA,0.08850032022699111,per_sample,per_sample,True,2.456699651526272,2.3528023245421474,-0.10389732698412457,0.10389732698412457,4.229142415499442,False
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,GSA,0.08850032022699111,per_sample,per_sample,True,2.7460125,2.6078504742006436,-0.13816202579935632,0.13816202579935632,5.031369150699653,False
113566,dry,TC air,0.09294072678275303,2.98,0.025,Bruggeman,,,per_sample,False,2.244775,2.5700341990877544,0.32525919908775425,0.32525919908775425,14.489612504048477,True
113566,oil,TC oil,0.09294072678275303,2.98,0.13,Bruggeman,,,per_sample,False,2.456699651526272,2.592396890285476,0.13569723875920392,0.13569723875920392,5.5235583509322925,False
113566,brine_avg,TC 60,0.09294072678275303,2.98,0.6,Bruggeman,,,per_sample,False,2.7460125,2.6815863564826827,-0.06442614351731724,0.06442614351731724,2.346170802839289,False
113572,dry,TC air,0.0882413294197936,2.98,0.025,MT,0.08631474500851172,per_sample,per_sample,True,2.26715,2.2671489394589335,-1.0605410665220916e-06,1.0605410665220916e-06,4.6778601615336066e-05,True
113572,oil,TC oil,0.0882413294197936,2.98,0.13,MT,0.08631474500851172,per_sample,per_sample,True,2.52625,2.374636054867157,-0.15161394513284332,0.15161394513284332,6.001541618321358,False
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,MT,0.08631474500851172,per_sample,per_sample,True,2.843925,2.624181977196892,-0.2197430228031081,0.2197430228031081,7.726751683082645,False
113572,dry,TC air,0.0882413294197936,2.98,0.025,SCA,0.10120128913354594,per_sample,per_sample,True,2.26715,2.2671498925310747,-1.0746892531443564e-07,1.0746892531443564e-07,4.740265324942577e-06,True
113572,oil,TC oil,0.0882413294197936,2.98,0.13,SCA,0.10120128913354594,per_sample,per_sample,True,2.52625,2.373817420558539,-0.15243257944146116,0.15243257944146116,6.033946736920778,False
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,SCA,0.10120128913354594,per_sample,per_sample,True,2.843925,2.6233157270473955,-0.22060927295260457,0.22060927295260457,7.757211352360017,False
113572,dry,TC air,0.0882413294197936,2.98,0.025,DEM,0.09932093866208483,per_sample,per_sample,True,2.26715,2.2671488304103455,-1.1695896544594575e-06,1.1695896544594575e-06,5.158854308093675e-05,True
113572,oil,TC oil,0.0882413294197936,2.98,0.13,DEM,0.09932093866208483,per_sample,per_sample,True,2.52625,2.379712505808943,-0.14653749419105733,0.14653749419105733,5.80059353551934,False
113572,brine_avg,TC 60,0.0882413294197936,2.98,0.6,DEM,0.09932093866208483,per_sample,per_sample,True,2.843925,2.62732209512461,-0.21660290487539013,0.21660290487539013,7.616336748521501,False
