sample_id,model,phi,calibration_state,calibration_measurement_col,calibration_observed_tc,calibration_predicted_tc,calibration_abs_pct_error,matrix_tc,calibration_fluid_tc,alpha_fit,alpha_source,alpha_fit_mode,fit_objective,fit_success,fit_at_lower,fit_at_upper,uses_alpha,objective_mode
113480,MT,0.045249,dry,TC air,2.4728875000000006,2.472887088475538,1.6641455080626112e-05,2.98,0.025,0.056663870753093634,per_sample,per_sample,2.7693802720049657e-14,True,False,False,True,rel_sse
113480,SCA,0.045249,dry,TC air,2.4728875000000006,2.472887580159098,3.2415181678040576e-06,2.98,0.025,0.06386481430694,per_sample,per_sample,1.0507440032203774e-15,True,False,False,True,rel_sse
113480,DEM,0.045249,dry,TC air,2.4728875000000006,2.4728876024045534,4.1410922590493244e-06,2.98,0.025,0.06226592699664115,per_sample,per_sample,1.7148645097958237e-15,True,False,False,True,rel_sse
113480,GSA,0.045249,dry,TC air,2.4728875000000006,2.4728870884755563,1.6641454344334726e-05,2.98,0.025,0.05666387075309723,per_sample,per_sample,2.7693800269457717e-14,True,False,False,True,rel_sse
113480,Bruggeman,0.045249,dry,TC air,2.4728875000000006,2.7803314905197474,12.43259107095437,2.98,0.025,,,per_sample,0.015456932073757432,True,False,False,False,rel_sse
113532,MT,0.06473371285951457,dry,TC air,2.4045750000000004,2.4045759934049147,4.131311829861729e-05,2.98,0.025,0.07856792020792523,per_sample,per_sample,1.706773743555547e-13,True,False,False,True,rel_sse
113532,SCA,0.06473371285951457,dry,TC air,2.4045750000000004,2.4045749961576175,1.5979467707739912e-07,2.98,0.025,0.08924832160440768,per_sample,per_sample,2.5534338822270264e-18,True,False,False,True,rel_sse
113532,DEM,0.06473371285951457,dry,TC air,2.4045750000000004,2.404573851954286,4.7744225673730987e-05,2.98,0.025,0.08765434569785864,per_sample,per_sample,2.279511085184153e-13,True,False,False,True,rel_sse
113532,GSA,0.06473371285951457,dry,TC air,2.4045750000000004,2.404575993404913,4.1313118224743244e-05,2.98,0.025,0.07856792020792476,per_sample,per_sample,1.7067737374516124e-13,True,False,False,True,rel_sse
113532,Bruggeman,0.06473371285951457,dry,TC air,2.4045750000000004,2.694392824874252,12.052767115779368,2.98,0.025,,,per_sample,0.014526919514721251,True,False,False,False,rel_sse
113536,MT,0.1502428813868614,dry,TC air,1.85855,1.8585498778840086,6.570498039813272e-06,2.98,0.025,0.0797539855544461,per_sample,per_sample,4.3171444491190054e-15,True,False,False,True,rel_sse
113536,SCA,0.1502428813868614,dry,TC air,1.85855,1.858548904481239,5.8944809707491984e-05,2.98,0.025,0.10596228019895967,per_sample,per_sample,3.4744905914524413e-13,True,False,False,True,rel_sse
113536,DEM,0.1502428813868614,dry,TC air,1.85855,1.8585511665190964,6.276501016541911e-05,2.98,0.025,0.10171819292026894,per_sample,per_sample,3.939446501065165e-13,True,False,False,True,rel_sse
113536,GSA,0.1502428813868614,dry,TC air,1.85855,1.85854987788401,6.570497968130098e-06,2.98,0.025,0.07975398555444614,per_sample,per_sample,4.317144354920175e-15,True,False,False,True,rel_sse
113536,Bruggeman,0.1502428813868614,dry,TC air,1.85855,2.317620944377673,24.700489326500406,2.98,0.025,,,per_sample,0.061011417296856045,True,False,False,False,rel_sse
113541,MT,0.1419265364023713,dry,TC air,1.867175,1.8671749395643586,3.2367422111077987e-06,2.98,0.025,0.07351986945104426,per_sample,per_sample,1.0476500141167e-15,True,False,False,True,rel_sse
113541,SCA,0.1419265364023713,dry,TC air,1.867175,1.8671752638865027,1.4132928228442062e-05,2.98,0.025,0.0979900822178467,per_sample,per_sample,1.9973966031029447e-14,True,False,False,True,rel_sse
