state,model,n,mean_obs,mean_pred,bias,mae,rmse,mape
brine_avg,Bruggeman,33,2.691356060606061,2.648393317321844,-0.04296274328421665,0.10118526072418237,0.11949950157851696,3.713819529669265
brine_avg,DEM,33,2.691356060606061,2.5752106110090076,-0.11614544959705274,0.1405838129022073,0.16278207081267587,5.162359709300103
brine_avg,MT,33,2.691356060606061,2.5705047227013162,-0.12085133790474431,0.14406534123251538,0.16655075285666407,5.299044803498887
brine_avg,GSA,33,2.691356060606061,2.5705047227013162,-0.12085133790474444,0.14406534123251546,0.16655075285666412,5.29904480349889
brine_avg,SCA,33,2.691356060606061,2.569096371606132,-0.12225968899992835,0.145126745142069,0.1677090767542655,5.341072288224301
dry,GSA,33,2.166055681818182,2.166055678393307,-3.4248748079981147e-09,5.062786494951779e-07,6.479222436215173e-07,2.3636368745548163e-05
dry,MT,33,2.166055681818182,2.1660556783933065,-3.424875480860554e-09,5.062786501007541e-07,6.479222439283034e-07,2.3636368773623934e-05
dry,DEM,33,2.166055681818182,2.1660559772393904,2.954212086743247e-07,5.8471423198881e-07,8.162964779439122e-07,3.0501141711881696e-05
dry,SCA,33,2.166055681818182,2.1660556110812137,-7.073696814828598e-08,5.342557948228795e-07,8.549087510497075e-07,2.7740591711379254e-05
dry,Bruggeman,33,2.166055681818182,2.5224184175131295,0.3563627356949474,0.3563627356949474,0.37482521794264095,17.794376062723934
oil,DEM,33,2.4118695067331823,2.297370970026996,-0.11449853670618651,0.11566218980952821,0.1331010634901896,4.914116377428436
oil,GSA,33,2.4118695067331823,2.2895467485074095,-0.12232275822577292,0.12322991945642214,0.1411000599484069,5.266140511324096
oil,MT,33,2.4118695067331823,2.2895467485074095,-0.12232275822577324,0.12322991945642242,0.1411000599484071,5.266140511324108
oil,SCA,33,2.4118695067331823,2.2882509460350478,-0.12361856069813476,0.1244845339445058,0.1424612823641962,5.324890437262806
oil,Bruggeman,33,2.4118695067331823,2.547955419678787,0.13608591294560415,0.13763350577042388,0.15749596296678917,6.08285788806541
